dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,1,0,0,1,0,0,0
03/14/20,1,0,0,0,0,0,0
03/15/20,1,0,0,0,0,0,0
03/16/20,1,0,0,0,0,0,0
03/17/20,1,0,0,0,0,0,0
03/18/20,1,0,0,0,0,0,0
03/19/20,1,0,0,0,0,0,0
03/20/20,1,0,0,0,0,0,0
03/21/20,1,0,0,0,0,0,0
03/22/20,1,0,0,0,0,0,0
03/23/20,3,0,0,2,0,0,0
03/24/20,3,0,0,0,0,0,0
03/25/20,3,0,0,0,0,0,0
03/26/20,7,0,0,4,0,0,0
03/27/20,7,0,0,0,0,0,0
03/28/20,7,0,0,0,0,0,0
03/29/20,7,0,0,0,0,0,0
03/30/20,7,0,0,0,0,0,0
03/31/20,7,0,0,0,0,0,0
04/01/20,7,0,0,0,0,0,0
04/02/20,9,0,0,2,0,0,0
04/03/20,15,0,0,6,0,0,0
04/04/20,15,0,0,0,0,0,0
04/05/20,15,0,0,0,0,0,0
04/06/20,15,0,0,0,0,0,0
04/07/20,19,1,0,4,1,0,1
04/08/20,19,2,0,0,1,0,1
04/09/20,19,2,0,0,0,0,0
04/10/20,19,2,0,0,0,0,0
04/11/20,21,2,0,2,0,0,0
04/12/20,21,2,0,0,0,0,0
04/13/20,23,2,0,2,0,0,0
04/14/20,23,2,3,0,0,3,3
04/15/20,23,2,3,0,0,0,0
04/16/20,23,3,3,0,1,0,1
