,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,2,0,0,2,0,0,0
44,03/06/20,2,0,0,0,0,0,0
45,03/07/20,3,0,0,1,0,0,0
46,03/08/20,3,0,0,0,0,0,0
47,03/09/20,3,0,0,0,0,0,0
48,03/10/20,5,0,0,2,0,0,0
49,03/11/20,7,0,0,2,0,0,0
50,03/12/20,11,0,0,4,0,0,0
51,03/13/20,13,0,0,2,0,0,0
52,03/14/20,18,0,0,5,0,0,0
53,03/15/20,24,0,0,6,0,0,0
54,03/16/20,25,0,0,1,0,0,0
55,03/17/20,26,0,2,1,0,2,2
56,03/18/20,38,0,2,12,0,0,0
57,03/19/20,63,0,2,25,0,0,0
58,03/20/20,89,0,2,26,0,0,0
59,03/21/20,93,1,2,4,1,0,1
60,03/22/20,126,1,2,33,0,0,0
61,03/23/20,136,1,2,10,0,0,0
62,03/24/20,166,3,2,30,2,0,2
63,03/25/20,176,3,2,10,0,0,0
64,03/26/20,191,3,2,15,0,0,0
65,03/27/20,237,4,5,46,1,3,4
66,03/28/20,258,5,5,21,1,0,1
67,03/29/20,323,6,8,65,1,3,4
68,03/30/20,368,10,17,45,4,9,13
69,03/31/20,420,13,17,52,3,0,3
70,04/01/20,459,13,19,39,0,2,2
71,04/02/20,533,16,20,74,3,1,4
72,04/03/20,579,17,27,46,1,7,8
73,04/04/20,624,21,30,45,4,3,7
74,04/05/20,654,23,30,30,2,0,2
75,04/06/20,674,29,47,20,6,17,23
76,04/07/20,764,33,68,90,4,21,25
77,04/08/20,804,34,79,40,1,11,12
78,04/09/20,858,35,101,54,1,22,23
79,04/10/20,901,36,129,43,1,28,29
80,04/11/20,946,37,139,45,1,10,11
81,04/12/20,1009,39,193,63,2,54,56
82,04/13/20,1037,39,206,28,0,13,13
83,04/14/20,1083,40,236,46,1,30,31
84,04/15/20,1110,41,253,27,1,17,18
85,04/16/20,1167,43,277,57,2,24,26
86,04/17/20,1214,46,320,47,3,43,46
87,04/18/20,1268,47,338,54,1,18,19
88,04/19/20,1285,48,347,17,1,9,10
89,04/20/20,1309,49,381,24,1,34,35
90,04/21/20,1342,51,437,33,2,56,58
91,04/22/20,1368,53,460,26,2,23,25
92,04/23/20,1413,54,485,45,1,25,26
93,04/24/20,1421,55,538,8,1,53,54
94,04/25/20,1486,57,592,65,2,54,56
95,04/26/20,1516,59,624,30,2,32,34
96,04/27/20,1565,60,659,49,1,35,36
97,04/28/20,1585,63,682,20,3,23,26
