,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,1,0,0,1,0,0,0
34,02/25/20,1,0,0,0,0,0,0
35,02/26/20,1,0,0,0,0,0,0
36,02/27/20,1,0,0,0,0,0,0
37,02/28/20,1,0,0,0,0,0,0
38,02/29/20,1,0,0,0,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,1,0,0,0,0,0,0
45,03/07/20,1,0,0,0,0,0,0
46,03/08/20,4,0,0,3,0,0,0
47,03/09/20,4,0,0,0,0,0,0
48,03/10/20,5,0,0,1,0,0,0
49,03/11/20,7,0,0,2,0,0,0
50,03/12/20,7,0,0,0,0,0,0
51,03/13/20,7,0,0,0,0,0,0
52,03/14/20,11,0,0,4,0,0,0
53,03/15/20,16,0,0,5,0,0,0
54,03/16/20,21,0,1,5,0,1,1
55,03/17/20,22,0,1,1,0,0,0
56,03/18/20,22,0,1,0,0,0,0
57,03/19/20,22,0,1,0,0,0,0
58,03/20/20,24,0,1,2,0,0,0
59,03/21/20,24,0,1,0,0,0,0
60,03/22/20,40,1,1,16,1,0,1
61,03/23/20,40,1,1,0,0,0,0
62,03/24/20,74,1,1,34,0,0,0
63,03/25/20,84,2,2,10,1,1,2
64,03/26/20,94,4,2,10,2,0,2
65,03/27/20,110,4,2,16,0,0,0
66,03/28/20,110,4,2,0,0,0,0
67,03/29/20,120,4,2,10,0,0,0
68,03/30/20,170,4,2,50,0,0,0
69,03/31/20,174,4,5,4,0,3,3
70,04/01/20,237,4,5,63,0,0,0
71,04/02/20,273,6,10,36,2,5,7
72,04/03/20,281,6,10,8,0,0,0
73,04/04/20,299,7,10,18,1,0,1
74,04/05/20,349,7,15,50,0,5,5
75,04/06/20,367,11,18,18,4,3,7
76,04/07/20,423,14,18,56,3,0,3
77,04/08/20,444,14,29,21,0,11,11
78,04/09/20,484,15,32,40,1,3,4
79,04/10/20,521,15,32,37,0,0,0
80,04/11/20,555,18,32,34,3,0,3
81,04/12/20,607,18,32,52,0,0,0
82,04/13/20,665,21,32,58,3,0,3
83,04/14/20,714,23,40,49,2,8,10
84,04/15/20,784,25,43,70,2,3,5
85,04/16/20,840,30,54,56,5,11,16
86,04/17/20,906,30,99,66,0,45,45
87,04/18/20,933,30,112,27,0,13,13
88,04/19/20,996,33,131,63,3,19,22
89,04/20/20,1026,36,135,30,3,4,7
90,04/21/20,1092,36,150,66,0,15,15
91,04/22/20,1176,40,166,84,4,16,20
92,04/23/20,1279,42,179,103,2,13,15
93,04/24/20,1351,43,188,72,1,9,10
94,04/25/20,1463,47,188,112,4,0,4
95,04/26/20,1531,50,207,68,3,19,22
