,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,1,0,0,1,0,0,0
37,02/28/20,1,0,0,0,0,0,0
38,02/29/20,3,0,0,2,0,0,0
39,03/01/20,4,0,0,1,0,0,0
40,03/02/20,4,0,0,0,0,0,0
41,03/03/20,6,0,0,2,0,0,0
42,03/04/20,10,0,0,4,0,0,0
43,03/05/20,10,0,0,0,0,0,0
44,03/06/20,23,0,1,13,0,1,1
45,03/07/20,23,0,1,0,0,0,0
46,03/08/20,35,0,1,12,0,0,0
47,03/09/20,90,0,1,55,0,0,0
48,03/10/20,262,0,1,172,0,0,0
49,03/11/20,442,0,1,180,0,0,0
50,03/12/20,615,0,1,173,0,0,0
51,03/13/20,801,0,1,186,0,0,0
52,03/14/20,827,1,1,26,1,0,1
53,03/15/20,864,2,1,37,1,0,1
54,03/16/20,914,3,1,50,1,0,1
55,03/17/20,977,4,1,63,1,0,1
56,03/18/20,1057,4,1,80,0,0,0
57,03/19/20,1151,6,1,94,2,0,2
58,03/20/20,1255,9,1,104,3,0,3
59,03/21/20,1326,13,1,71,4,0,4
60,03/22/20,1395,13,1,69,0,0,0
61,03/23/20,1450,24,1,55,11,0,11
62,03/24/20,1591,32,1,141,8,0,8
63,03/25/20,1724,34,1,133,2,0,2
64,03/26/20,1877,41,1,153,7,0,7
65,03/27/20,2046,52,1,169,11,0,11
66,03/28/20,2201,65,1,155,13,0,13
67,03/29/20,2395,72,1,194,7,0,7
68,03/30/20,2577,77,1,182,5,0,5
69,03/31/20,2860,90,1,283,13,0,13
70,04/01/20,3107,104,894,247,14,893,907
71,04/02/20,3386,123,1089,279,19,195,214
72,04/03/20,3757,139,1193,371,16,104,120
73,04/04/20,4077,161,1283,320,22,90,112
74,04/05/20,4369,179,1327,292,18,44,62
75,04/06/20,4681,187,1378,312,8,51,59
76,04/07/20,5071,203,1491,390,16,113,129
77,04/08/20,5402,218,1621,331,15,130,145
78,04/09/20,5635,237,1736,233,19,115,134
79,04/10/20,5819,247,1773,184,10,37,47
80,04/11/20,5996,260,1955,177,13,182,195
81,04/12/20,6174,273,2123,178,13,168,181
82,04/13/20,6318,285,2235,144,12,112,124
83,04/14/20,6511,299,2515,193,14,280,294
84,04/15/20,6681,309,2748,170,10,233,243
85,04/16/20,6879,321,3023,198,12,275,287
86,04/17/20,7073,336,3389,194,15,366,381
87,04/18/20,7242,346,3847,169,10,458,468
88,04/19/20,7384,355,4141,142,9,294,303
89,04/20/20,7515,364,4312,131,9,171,180
90,04/21/20,7695,370,4700,180,6,388,394
91,04/22/20,7912,384,5087,217,14,387,401
92,04/23/20,8073,394,5384,161,10,297,307
93,04/24/20,8210,403,5526,137,9,142,151
94,04/25/20,8445,418,5669,235,15,143,158
95,04/26/20,8575,422,5805,130,4,136,140
