,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,0,0,0.0,0,0,0,0
10,02/01/20,0,0,0.0,0,0,0,0
11,02/02/20,0,0,0.0,0,0,0,0
12,02/03/20,0,0,0.0,0,0,0,0
13,02/04/20,0,0,0.0,0,0,0,0
14,02/05/20,0,0,0.0,0,0,0,0
15,02/06/20,0,0,0.0,0,0,0,0
16,02/07/20,0,0,0.0,0,0,0,0
17,02/08/20,0,0,0.0,0,0,0,0
18,02/09/20,0,0,0.0,0,0,0,0
19,02/10/20,0,0,0.0,0,0,0,0
20,02/11/20,0,0,0.0,0,0,0,0
21,02/12/20,0,0,0.0,0,0,0,0
22,02/13/20,0,0,0.0,0,0,0,0
23,02/14/20,0,0,0.0,0,0,0,0
24,02/15/20,0,0,0.0,0,0,0,0
25,02/16/20,0,0,0.0,0,0,0,0
26,02/17/20,0,0,0.0,0,0,0,0
27,02/18/20,0,0,0.0,0,0,0,0
28,02/19/20,0,0,0.0,0,0,0,0
29,02/20/20,0,0,0.0,0,0,0,0
30,02/21/20,0,0,0.0,0,0,0,0
31,02/22/20,0,0,0.0,0,0,0,0
32,02/23/20,0,0,0.0,0,0,0,0
33,02/24/20,0,0,0.0,0,0,0,0
34,02/25/20,0,0,0.0,0,0,0,0
35,02/26/20,0,0,0.0,0,0,0,0
36,02/27/20,0,0,0.0,0,0,0,0
37,02/28/20,0,0,0.0,0,0,0,0
38,02/29/20,0,0,0.0,0,0,0,0
39,03/01/20,0,0,0.0,0,0,0,0
40,03/02/20,0,0,0.0,0,0,0,0
41,03/03/20,0,0,0.0,0,0,0,0
42,03/04/20,0,0,0.0,0,0,0,0
43,03/05/20,0,0,0.0,0,0,0,0
44,03/06/20,0,0,0.0,0,0,0,0
45,03/07/20,0,0,0.0,0,0,0,0
46,03/08/20,0,0,0.0,0,0,0,0
47,03/09/20,0,0,0.0,0,0,0,0
48,03/10/20,0,0,0.0,0,0,0,0
49,03/11/20,0,0,0.0,0,0,0,0
50,03/12/20,0,0,0.0,0,0,0,0
51,03/13/20,0,0,0.0,0,0,0,0
52,03/14/20,3,0,0.0,3,0,0,0
53,03/15/20,6,0,0.0,3,0,0,0
54,03/16/20,6,0,0.0,0,0,0,0
55,03/17/20,7,0,0.0,1,0,0,0
56,03/18/20,7,0,0.0,0,0,0,0
57,03/19/20,11,0,0.0,4,0,0,0
58,03/20/20,16,0,0.0,5,0,0,0
59,03/21/20,19,1,0.0,3,1,0,1
60,03/22/20,23,1,0.0,4,0,0,0
61,03/23/20,27,2,0.0,4,1,0,1
62,03/24/20,53,2,0.0,26,0,0,0
63,03/25/20,93,4,0.0,40,2,0,2
64,03/26/20,132,4,1.0,39,0,1,1
65,03/27/20,137,4,2.0,5,0,1,1
66,03/28/20,141,5,2.0,4,1,0,1
67,03/29/20,152,5,2.0,11,0,0,0
68,03/30/20,152,5,2.0,0,0,0,0
69,03/31/20,161,5,31.0,9,0,29,29
70,04/01/20,195,5,31.0,34,0,0,0
71,04/02/20,204,5,31.0,9,0,0,0
72,04/03/20,205,5,31.0,1,0,0,0
73,04/04/20,205,5,31.0,0,0,0,0
74,04/05/20,214,5,31.0,9,0,0,0
75,04/06/20,214,5,31.0,0,0,0,0
76,04/07/20,287,5,31.0,73,0,0,0
77,04/08/20,313,6,34.0,26,1,3,4
78,04/09/20,378,6,,65,0,0,-31
79,04/10/20,378,6,34.0,0,0,0,1
80,04/11/20,408,8,34.0,30,2,0,2
81,04/12/20,566,8,34.0,158,0,0,0
82,04/13/20,566,8,34.0,0,0,0,0
83,04/14/20,636,8,34.0,70,0,0,13
84,04/15/20,636,8,34.0,0,0,0,0
