"","coldates","dates","dates2","cum_cases","cum_deaths","cum_recover","new_cases","new_deaths","new_recover"
"1","X1.22.20","1.22.20",2020-01-22,0,0,0,NA,NA,NA
"2","X1.23.20","1.23.20",2020-01-23,0,0,0,0,0,0
"3","X1.24.20","1.24.20",2020-01-24,0,0,0,0,0,0
"4","X1.25.20","1.25.20",2020-01-25,0,0,0,0,0,0
"5","X1.26.20","1.26.20",2020-01-26,0,0,0,0,0,0
"6","X1.27.20","1.27.20",2020-01-27,0,0,0,0,0,0
"7","X1.28.20","1.28.20",2020-01-28,0,0,0,0,0,0
"8","X1.29.20","1.29.20",2020-01-29,0,0,0,0,0,0
"9","X1.30.20","1.30.20",2020-01-30,0,0,0,0,0,0
"10","X1.31.20","1.31.20",2020-01-31,0,0,0,0,0,0
"11","X2.1.20","2.1.20",2020-02-01,0,0,0,0,0,0
"12","X2.2.20","2.2.20",2020-02-02,0,0,0,0,0,0
"13","X2.3.20","2.3.20",2020-02-03,0,0,0,0,0,0
"14","X2.4.20","2.4.20",2020-02-04,0,0,0,0,0,0
"15","X2.5.20","2.5.20",2020-02-05,0,0,0,0,0,0
"16","X2.6.20","2.6.20",2020-02-06,0,0,0,0,0,0
"17","X2.7.20","2.7.20",2020-02-07,0,0,0,0,0,0
"18","X2.8.20","2.8.20",2020-02-08,0,0,0,0,0,0
"19","X2.9.20","2.9.20",2020-02-09,0,0,0,0,0,0
"20","X2.10.20","2.10.20",2020-02-10,0,0,0,0,0,0
"21","X2.11.20","2.11.20",2020-02-11,0,0,0,0,0,0
"22","X2.12.20","2.12.20",2020-02-12,0,0,0,0,0,0
"23","X2.13.20","2.13.20",2020-02-13,0,0,0,0,0,0
"24","X2.14.20","2.14.20",2020-02-14,0,0,0,0,0,0
"25","X2.15.20","2.15.20",2020-02-15,0,0,0,0,0,0
"26","X2.16.20","2.16.20",2020-02-16,0,0,0,0,0,0
"27","X2.17.20","2.17.20",2020-02-17,0,0,0,0,0,0
"28","X2.18.20","2.18.20",2020-02-18,0,0,0,0,0,0
"29","X2.19.20","2.19.20",2020-02-19,0,0,0,0,0,0
"30","X2.20.20","2.20.20",2020-02-20,0,0,0,0,0,0
"31","X2.21.20","2.21.20",2020-02-21,0,0,0,0,0,0
"32","X2.22.20","2.22.20",2020-02-22,0,0,0,0,0,0
"33","X2.23.20","2.23.20",2020-02-23,0,0,0,0,0,0
"34","X2.24.20","2.24.20",2020-02-24,0,0,0,0,0,0
"35","X2.25.20","2.25.20",2020-02-25,0,0,0,0,0,0
"36","X2.26.20","2.26.20",2020-02-26,0,0,0,0,0,0
"37","X2.27.20","2.27.20",2020-02-27,0,0,0,0,0,0
"38","X2.28.20","2.28.20",2020-02-28,0,0,0,0,0,0
"39","X2.29.20","2.29.20",2020-02-29,0,0,0,0,0,0
"40","X3.1.20","3.1.20",2020-03-01,0,0,0,0,0,0
"41","X3.2.20","3.2.20",2020-03-02,0,0,0,0,0,0
"42","X3.3.20","3.3.20",2020-03-03,0,0,0,0,0,0
"43","X3.4.20","3.4.20",2020-03-04,0,0,0,0,0,0
"44","X3.5.20","3.5.20",2020-03-05,0,0,0,0,0,0
"45","X3.6.20","3.6.20",2020-03-06,0,0,0,0,0,0
"46","X3.7.20","3.7.20",2020-03-07,0,0,0,0,0,0
"47","X3.8.20","3.8.20",2020-03-08,0,0,0,0,0,0
"48","X3.9.20","3.9.20",2020-03-09,0,0,0,0,0,0
"49","X3.10.20","3.10.20",2020-03-10,173,0,0,173,0,0
"50","X3.11.20","3.11.20",2020-03-11,220,0,0,47,0,0
"51","X3.12.20","3.12.20",2020-03-12,328,0,0,108,0,0
"52","X3.13.20","3.13.20",2020-03-13,421,0,0,93,0,0
"53","X3.14.20","3.14.20",2020-03-14,525,2,0,104,2,0
"54","X3.15.20","3.15.20",2020-03-15,732,3,0,207,1,0
"55","X3.16.20","3.16.20",2020-03-16,967,10,0,235,7,0
"56","X3.17.20","3.17.20",2020-03-17,1706,13,0,739,3,0
"57","X3.18.20","3.18.20",2020-03-18,2495,16,0,789,3,0
"58","X3.19.20","3.19.20",2020-03-19,5365,34,0,2870,18,0
"59","X3.20.20","3.20.20",2020-03-20,8310,42,0,2945,8,0
"60","X3.21.20","3.21.20",2020-03-21,11710,60,0,3400,18,0
"61","X3.22.20","3.22.20",2020-03-22,15793,117,0,4083,57,0
